dmanum,market_1,market_2,market_3
500,PORTLAND-ME,,
501,TRI-STATE-NY/NJ/CT,,
502,BINGHAMTON-NY,,
503,MACON-GA,,
504,PHILADELPHIA-PA,,
505,DETROIT-MI,,
506,BOSTON-MA,,
507,SAVANNAH-GA,,
508,PITTSBURGH-PA,,
509,FORT WAYNE-IN,,
510,CLEVELAND-OH,,
511,WASHINGTON D.C.,,
512,BALTIMORE-MD,,
513,FLINT/SAGINAW-BAY CITY-MI,,
514,BUFFALO-NY,,
515,CINCINNATI-OH,,
516,ERIE-PA,,
517,CHARLOTTE-NC,,
518,GREENSBORO-NC,,
519,CHARLESTON-SC,,
520,AUGUSTA-GA,,
521,PROVIDENCE-RI,,
522,COLUMBUS-GA,,
523,BURLINGTON-PLATTSBURGH-VT,,
524,ATLANTA-GA,,
525,ALBANY-GA,,
526,UTICA-NY,,
527,INDIANAPOLIS-IN,,
528,MIAMI/FT. LAUDERDALE-FL,,
529,LOUISVILLE-KY,,
530,TALLAHASSEE/THOMASVILLE-FL,,
531,TRI CITIES-TN,,
532,ALBANY-NY,,
533,NEW HAVEN/HARTFORD-CT,,
534,ORLANDO/DAYTONA/MELBOURNE-FL,,
535,COLUMBUS-OH,,
536,YOUNGSTOWN-OH,,
537,BANGOR-ME,,
538,ROCHESTER-NY,,
539,TAMPA/ST. PETE/LAKELAND-FL,,
540,TRAVERSE CITY-MI,,
541,LEXINGTON-KY,,
542,DAYTON-OH,,
543,SPRINGFIELD-MA,,
544,NORFOLK-VA,,
545,GREENVILLE-NC,,
546,COLUMBIA-SC,,
547,TOLEDO-OH,,
548,WEST PALM BEACH-FL,,
549,WATERTOWN-NY,,
550,WILMINGTON-NC,,
551,LANSING/JACKSON-MI,,
552,PRESQUE ISLE-ME,,
553,MARQUETTE-MI,,
554,WHEELING-WV,,
555,SYRACUSE-NY,,
556,RICHMOND-VA,,
557,KNOXVILLE-TN,,
558,LIMA-OH,,
559,BLUEFIELD-WV,,
560,RALEIGH-NC,,
561,JACKSONVILLE-FL,,
563,GRAND RAPIDS/KALAMAZOO-MI,,
564,CHARLESTON/HUNTINGTON-WV,,
565,ELMIRA-NY,,
566,HARRISBURG/LANCASTER-PA,,
567,GREENVILLE-SC,,
569,HARRISONBURG-VA,,
570,FLORENCE/MYRTLE BEACH-SC,,
571,FORT MYERS/NAPLES-FL,,
573,ROANOKE/LYNCHBURG-VA,,
574,JOHNSTOWN/ALTOONA-PA,,
575,CHATTANOOGA-TN,,
576,SALISBURY-MD,,
577,WILKES-BARRE-PA,,
581,TERRE HAUTE-IN,,
582,LAFAYETTE-IN,,
584,CHARLOTTESVILLE,,
588,SOUTH BEND-IN,,
592,GAINESVILLE-FL,,
596,ZANESVILLE-OH,,
597,PARKERSBURG-WV,,
598,CLARKSBURG-WV,,
600,CORPUS CHRISTI-TX,,
602,CHICAGO-IL,,
603,JOPLIN/PITTSBURG-MO,,
604,COLUMBIA/JEFFERSON CITY-MO,,
605,TOPEKA-KS,,
606,DOTHAN-AL,,
609,ST. LOUIS-MO,,
610,ROCKFORD-IL,,
611,ROCHESTER-MN,,
612,SHREVEPORT-LA,,
613,MINNEAPOLIS-MN,,
616,KANSAS CITY-KS / MO,,
617,MILWAUKEE-WI,,
618,HOUSTON-TX,,
619,SPRINGFIELD-MO,,
622,NEW ORLEANS-LA,,
623,DALLAS-TX,,
624,SIOUX CITY-IA,,
625,WACO/TEMPLE/BRYAN-TX,,
626,VICTORIA-TX,,
627,WICHITA FALLS-TX,,
628,MONROE/EL DORADO-LA,,
630,BIRMINGHAM-AL,,
631,OTTUMWA-IA,,
632,PADUCAH-KY,,
633,MIDLAND-TX,,
634,AMARILLO-TX,,
635,AUSTIN-TX,,
636,MCALLEN-TX,,
637,CEDAR RAPIDS-IA,,
638,ST. JOSEPH-MO,,
639,JACKSON-TN,,
640,MEMPHIS-TN,,
641,SAN ANTONIO-TX,,
642,LAFAYETTE-LA,,
643,LAKE CHARLES-LA,,
648,CHAMPAIGN/SPRINGFIELD-IL,,
649,EVANSVILLE-IN,,
650,OKLAHOMA CITY-OK,,
651,LUBBOCK-TX,,
652,OMAHA-NE,,
656,PANAMA CITY-FL,,
657,SHERMAN/ADA-TX,,
658,GREEN BAY/APPLETON-WI,,
659,NASHVILLE-TN,,
662,ABILENE-TX,,
669,MADISON-WI,,
670,FAYETTEVILLE/FT.SMIT-AR,,
671,TULSA-OK,,
673,COLUMBUS/TUPELO/WESTPOINT-MS,,
675,PEORIA/BLOOMINGTON-IL,,
676,DULUTH-MN,,
678,WICHITA-KS,,
679,DES MOINES-IA,,
682,DAVENPORT-IA,,
686,MOBILE/PENSACOLA-AL / FL,,
687,MINOT/BISMARCK-ND,,
691,HUNTSVILLE-AL,,
692,BEAUMONT/PORT ARTHUR-TX,,
693,LITTLE ROCK-AR,,
698,MONTGOMERY-AL,,
702,LA CROSSE/EAU CLAIRE-WI,,
705,WAUSAU-WI,,
709,TYLER/LONGVIEW-TX,,
710,HATTIESBURG/LAUREL-MS,,
716,BATON ROUGE-LA,,
717,QUINCY-IL,,
718,JACKSON-MS,,
722,LINCOLN-NE,,
724,FARGO-ND,,
725,SIOUX FALLS-SD,,
734,JONESBORO-AR,,
736,BOWLING GREEN-KY,,
737,MANKATO-MN,,
743,ANCHORAGE-AK,,
746,BILOXI/GULFPORT-MS,,
749,LAREDO-TX,,
751,DENVER-CO,,
752,COLORADO SPRINGS-CO,,
753,FLAGSTAFF-AZ,,
754,BUTTE/BOZEMAN-MT,,
755,GREAT FALLS-MT,,
756,BILLINGS-MT,,
757,BOISE-ID,,
758,IDAHO FALLS/POCATELLO-ID,,
759,CHEYENNE- WY,,
762,MISSOULA-MT,,
764,RAPID CITY-SD,,
765,EL PASO-TX,,
766,HELENA-MT,,
767,CASPER/RIVERTON-WY,,
770,SALT LAKE CITY-UT,,
771,YUMA-AZ,,
773,GRAND JUNCTION/MONTROSE-CO,,
789,TUCSON-AZ,,
790,ALBUQUERQUE/SANTA FE-NM,,
798,GLENDIVE-MT,,
800,BAKERSFIELD-CA,,
801,EUGENE-OR,,
802,EUREKA-CA,,
803,LOS ANGELES-CA,,
804,PALM SPRINGS-CA,,
807,SAN FRANCISCO-CA,,
810,YAKIMA-WA,,
811,RENO-NV,,
813,MEDFORD/KLAMATH FALLS-OR,,
819,SEATTLE-WA,,
820,PORTLAND-OR,,
821,BEND-OR,,
825,SAN DIEGO-CA,,
828,MONTEREY/SALINAS-CA,,
839,LAS VEGAS-NV,,
855,SANTA BARBARA-CA,,
862,SACRAMENTO-CA,,
866,FRESNO/VISALIA-CA,,
868,CHICO/REDDING-CA,,
881,SPOKANE-WA,,
0,CASH-PAY,,
583,ALPENA-MI,,
644,ALEXANDRIA-LA,,
647,GREENWOOD-MS,,
661,SAN ANGELO-TX,,
711,MERIDIAN-MS,,
740,NORTH PLATTE-NE,,
744,HONOLULU-HI,,
745,FAIRBANKS-AK,,
747,JUNEAU-AK,,
760,TWIN FALLS-ID,,
999,OUTSIDE 50 STATES,,
