dma1_name,sales1_name,chan1_name,chan2_name,chan3_name,all_name,max,cpp,hl,hrf,wks,beta,curvegroup_name,factor_1
TRI-STATE-NY/NJ/CT,New Loyal KC,Network TV,Network TV,Network TV,overall,21420388.44,0.027037825,5,0.75,1,2671.934764,weekly,201.8593061
TRI-STATE-NY/NJ/CT,New Loyal NKC,Network TV,Network TV,Network TV,overall,21420388.44,0.027037825,5,0.15,1,5502.92419,weekly,134.1995803
TRI-STATE-NY/NJ/CT,New Non-Loyal KC,Network TV,Network TV,Network TV,overall,21420388.44,0.027037825,5,0.15,1,39528.62674,weekly,194.2153829
TRI-STATE-NY/NJ/CT,New Non-Loyal NKC,Network TV,Network TV,Network TV,overall,21420388.44,0.027037825,0.6,0.05,1,281973.1963,weekly,146.6010494
TRI-STATE-NY/NJ/CT,Existing Non-Loyal NKC,Network TV,Network TV,Network TV,overall,21420388.44,0.027037825,1,0.75,1,131755.3124,weekly,116.8952486
TRI-STATE-NY/NJ/CT,Existing Loyal NKC,Network TV,Network TV,Network TV,overall,21420388.44,0.027037825,0.6,0.75,1,222126.0652,weekly,114.2438119
TRI-STATE-NY/NJ/CT,Existing Non-Loyal KC,Network TV,Network TV,Network TV,overall,21420388.44,0.027037825,1,0.75,1,603621.606,weekly,134.9741672
TRI-STATE-NY/NJ/CT,Existing Loyal KC,Network TV,Network TV,Network TV,overall,21420388.44,0.027037825,0.6,0.6,1,723666.4169,weekly,135.2337552
LOS ANGELES-CA,New Loyal KC,Network TV,Network TV,Network TV,overall,18041587.03,0.027037825,5,0.75,1,3393.032643,weekly,184.2146852
LOS ANGELES-CA,New Loyal NKC,Network TV,Network TV,Network TV,overall,18041587.03,0.027037825,5,0.15,1,8932.370622,weekly,117.9622877
LOS ANGELES-CA,New Non-Loyal KC,Network TV,Network TV,Network TV,overall,18041587.03,0.027037825,5,0.15,1,28648.91801,weekly,183.6438898
LOS ANGELES-CA,Existing Non-Loyal NKC,Network TV,Network TV,Network TV,overall,18041587.03,0.027037825,1,0.75,1,37096.83735,weekly,110.9638175
LOS ANGELES-CA,New Non-Loyal NKC,Network TV,Network TV,Network TV,overall,18041587.03,0.027037825,0.6,0.05,1,208614.7869,weekly,149.4099278
LOS ANGELES-CA,Existing Non-Loyal KC,Network TV,Network TV,Network TV,overall,18041587.03,0.027037825,1,0.75,1,134101.5764,weekly,121.3662748
LOS ANGELES-CA,Existing Loyal NKC,Network TV,Network TV,Network TV,overall,18041587.03,0.027037825,0.6,0.75,1,177731.6489,weekly,97.50095475
LOS ANGELES-CA,Existing Loyal KC,Network TV,Network TV,Network TV,overall,18041587.03,0.027037825,0.6,0.6,1,796158.7759,weekly,118.0295792
CHICAGO-IL,New Loyal KC,Network TV,Network TV,Network TV,overall,9898459.342,0.027037825,5,0.75,1,1403.434591,weekly,173.2724192
CHICAGO-IL,New Loyal NKC,Network TV,Network TV,Network TV,overall,9898459.342,0.027037825,5,0.15,1,3449.600213,weekly,107.9480475
CHICAGO-IL,New Non-Loyal KC,Network TV,Network TV,Network TV,overall,9898459.342,0.027037825,5,0.15,1,21175.03314,weekly,181.648393
CHICAGO-IL,New Non-Loyal NKC,Network TV,Network TV,Network TV,overall,9898459.342,0.027037825,0.6,0.05,1,189224.0701,weekly,132.3517178
CHICAGO-IL,Existing Non-Loyal NKC,Network TV,Network TV,Network TV,overall,9898459.342,0.027037825,1,0.75,1,135126.7888,weekly,106.9382728
CHICAGO-IL,Existing Loyal NKC,Network TV,Network TV,Network TV,overall,9898459.342,0.027037825,0.6,0.75,1,183436.1617,weekly,102.1868689
CHICAGO-IL,Existing Non-Loyal KC,Network TV,Network TV,Network TV,overall,9898459.342,0.027037825,1,0.75,1,382529.5215,weekly,125.4247618
CHICAGO-IL,Existing Loyal KC,Network TV,Network TV,Network TV,overall,9898459.342,0.027037825,0.6,0.6,1,513025.3583,weekly,124.1920816
PHILADELPHIA-PA,New Loyal KC,Network TV,Network TV,Network TV,overall,8233341.464,0.027037825,5,0.75,1,1058.339936,weekly,199.1502363
PHILADELPHIA-PA,New Loyal NKC,Network TV,Network TV,Network TV,overall,8233341.464,0.027037825,5,0.15,1,2744.542899,weekly,134.5501518
