"salchan1_name","chan3_name","chan2_name","chan1_name","sales1_name","dma1_name"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","ABILENE-TX"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","ALBANY-GA"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","ALBANY-NY"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","ALBUQUERQUE/SANTA FE-NM"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","ALEXANDRIA-LA"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","ALPENA-MI"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","AMARILLO-TX"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","ANCHORAGE-AK"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","ATLANTA-GA"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","AUGUSTA-GA"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","AUSTIN-TX"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","BAKERSFIELD-CA"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","BALTIMORE-MD"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","BANGOR-ME"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","BATON ROUGE-LA"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","BEAUMONT/PORT ARTHUR-TX"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","BEND-OR"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","BILLINGS-MT"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","BILOXI/GULFPORT-MS"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","BINGHAMTON-NY"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","BIRMINGHAM-AL"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","BLUEFIELD-WV"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","BOISE-ID"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","BOSTON-MA"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","BOWLING GREEN-KY"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","BUFFALO-NY"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","BURLINGTON-PLATTSBURGH-VT"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","BUTTE/BOZEMAN-MT"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","CASPER/RIVERTON-WY"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","CEDAR RAPIDS-IA"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","CHAMPAIGN/SPRINGFIELD-IL"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","CHARLESTON-SC"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","CHARLESTON/HUNTINGTON-WV"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","CHARLOTTE-NC"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","CHARLOTTESVILLE"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","CHATTANOOGA-TN"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","CHEYENNE- WY"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","CHICAGO-IL"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","CHICO/REDDING-CA"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","CINCINNATI-OH"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","CLARKSBURG-WV"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","CLEVELAND-OH"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","COLORADO SPRINGS-CO"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","COLUMBIA-SC"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","COLUMBIA/JEFFERSON CITY-MO"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","COLUMBUS-GA"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","COLUMBUS-OH"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","COLUMBUS/TUPELO/WESTPOINT-MS"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","CORPUS CHRISTI-TX"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","DALLAS-TX"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","DAVENPORT-IA"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","DAYTON-OH"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","DENVER-CO"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","DES MOINES-IA"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","DETROIT-MI"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","DOTHAN-AL"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","DULUTH-MN"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","EL PASO-TX"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","ELMIRA-NY"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","ERIE-PA"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","EUGENE-OR"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","EUREKA-CA"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","EVANSVILLE-IN"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","FAIRBANKS-AK"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","FARGO-ND"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","FAYETTEVILLE/FT.SMIT-AR"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","FLAGSTAFF-AZ"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","FLINT/SAGINAW-BAY CITY-MI"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","FLORENCE/MYRTLE BEACH-SC"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","FORT MYERS/NAPLES-FL"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","FORT WAYNE-IN"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","FRESNO/VISALIA-CA"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","GAINESVILLE-FL"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","GLENDIVE-MT"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","GRAND JUNCTION/MONTROSE-CO"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","GRAND RAPIDS/KALAMAZOO-MI"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","GREAT FALLS-MT"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","GREEN BAY/APPLETON-WI"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","GREENSBORO-NC"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","GREENVILLE-NC"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","GREENVILLE-SC"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","GREENWOOD-MS"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","HARRISBURG/LANCASTER-PA"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","HARRISONBURG-VA"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","HATTIESBURG/LAUREL-MS"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","HELENA-MT"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","HONOLULU-HI"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","HOUSTON-TX"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","HUNTSVILLE-AL"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","IDAHO FALLS/POCATELLO-ID"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","INDIANAPOLIS-IN"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","JACKSON-MS"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","JACKSON-TN"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","JACKSONVILLE-FL"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","JOHNSTOWN/ALTOONA-PA"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","JONESBORO-AR"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","JOPLIN/PITTSBURG-MO"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","JUNEAU-AK"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","KANSAS CITY-KS / MO"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","KNOXVILLE-TN"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","LA CROSSE/EAU CLAIRE-WI"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","LAFAYETTE-IN"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","LAFAYETTE-LA"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","LAKE CHARLES-LA"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","LANSING/JACKSON-MI"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","LAREDO-TX"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","LAS VEGAS-NV"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","LEXINGTON-KY"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","LIMA-OH"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","LINCOLN-NE"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","LITTLE ROCK-AR"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","LOS ANGELES-CA"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","LOUISVILLE-KY"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","LUBBOCK-TX"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","MACON-GA"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","MADISON-WI"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","MANKATO-MN"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","MARQUETTE-MI"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","MCALLEN-TX"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","MEDFORD/KLAMATH FALLS-OR"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","MEMPHIS-TN"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","MERIDIAN-MS"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","MIAMI/FT. LAUDERDALE-FL"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","MIDLAND-TX"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","MILWAUKEE-WI"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","MINNEAPOLIS-MN"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","MINOT/BISMARCK-ND"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","MISSOULA-MT"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","MOBILE/PENSACOLA-AL / FL"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","MONROE/EL DORADO-LA"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","MONTEREY/SALINAS-CA"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","MONTGOMERY-AL"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","NASHVILLE-TN"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","NEW HAVEN/HARTFORD-CT"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","NEW ORLEANS-LA"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","NORFOLK-VA"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","NORTH PLATTE-NE"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","OKLAHOMA CITY-OK"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","OMAHA-NE"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","ORLANDO/DAYTONA/MELBOURNE-FL"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","OTTUMWA-IA"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","PADUCAH-KY"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","PALM SPRINGS-CA"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","PANAMA CITY-FL"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","PARKERSBURG-WV"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","PEORIA/BLOOMINGTON-IL"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","PHILADELPHIA-PA"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","PHOENIX-AZ"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","PITTSBURGH-PA"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","PORTLAND-ME"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","PORTLAND-OR"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","PRESQUE ISLE-ME"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","PROVIDENCE-RI"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","QUINCY-IL"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","RALEIGH-NC"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","RAPID CITY-SD"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","RENO-NV"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","RICHMOND-VA"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","ROANOKE/LYNCHBURG-VA"
